model,scenario,pattern,f_pct,m_pct,diff,p,d,significant
GPT-5.2,S01,given_my,14.444444444444443,4.444444444444444,10.0,0.0333127419969971,0.5932201213373925,False
GPT-5.2,S01,i_believe,1.111111111111111,1.111111111111111,0.0,1.0,0.0,False
GPT-5.2,S02,wanted_to,95.55555555555556,80.0,15.555555555555555,0.0019477152400619202,0.8705553782882892,True
GPT-5.2,S02,full_name_sig,47.77777777777777,75.55555555555553,-27.777777777777757,0.002197386965933121,-0.7981044138587625,True
GPT-5.2,S02,clarify,97.77777777777777,81.11111111111113,16.66666666666665,0.00021540782224319392,1.0467654389264962,True
GPT-5.2,S02,follow_up,100.0,100.0,0.0,1.0,0.0,False
Gemini,S01,given_my,17.77777777777777,18.888888888888886,-1.1111111111111127,0.9202446200856667,-0.0472764998427293,False
Gemini,S01,i_believe,10.000000000000002,26.666666666666668,-16.666666666666664,0.00517212844401474,-0.7922787563134753,True
Gemini,S02,wanted_to,100.0,100.0,0.0,1.0,0.0,False
Gemini,S02,full_name_sig,47.77777777777777,61.11111111111111,-13.33333333333333,0.15030867022759775,-0.37630748666055697,False
Gemini,S02,clarify,41.111111111111114,58.88888888888889,-17.777777777777775,0.02209172664661386,-0.6364111048534561,True
Gemini,S02,follow_up,67.77777777777779,42.22222222222222,25.55555555555556,0.00028968137846854504,1.0189739705324536,True
